A,B,C,D,E,F,G
H,O_Um421,379,TUHOMJTPLRKEYQA,1205,179,PKOSWZVLMXMTLZW
K,R_NFT36,458,DZGZSRGUYGDHDIX,3567,198,UHNHONUHHZTFLGT
A,X_10fMM,347,PAVNWKHMTBVVNWB,4397,149,BGRMWMMUMEFOBGL
K,R_NFT36,755,XIBUOKRQGJCFFMG,1307,209,OXMMZOZDYYWVGJG
G,U_oAo12,662,ODFURYFINNMQPUJ,4240,171,WOTRJPNMGQSJCKW
A,X_10fMM,240,CFSPXFBIYSITKUE,2757,162,KAQZSSKPPWRORYW
D,Y_A13Fm,377,UHIWXYBDZCQDMBW,4841,179,PKOSWZVLMXMTLZW
C,X_MM42e,940,XQCNPCOHYWSQVFY,4006,112,INOMZYINCCISUCQ
A,X_10fMM,150,EPGRUBMPZPBYLHC,1442,149,BGRMWMMUMEFOBGL
E,K_12M34,473,RJWQPBLKMLUAIMZ,1432,210,LCZQWSYFTCTBQUI
F,T_xEfV1,697,GHVMMFKKKMDGWBO,4677,179,PKOSWZVLMXMTLZW
G,U_oAo12,785,RPCNHBECGNSCRLO,3904,121,WWICVCDUHUKZAWN
E,K_12M34,469,GCCIJFZZLUSNZKR,4876,112,INOMZYINCCISUCQ
C,X_MM42e,952,VURNASZCCMBGFMH,3164,121,WWICVCDUHUKZAWN
A,X_10fMM,81,ODZTDFJYPUEVZXZ,4861,210,LCZQWSYFTCTBQUI
E,K_12M34,307,ILISBJAVSODTASL,3233,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,404,GUJKMIZNEXIEPZE,3672,179,PKOSWZVLMXMTLZW
K,R_NFT36,91,RALPDQBXBDJTNPW,1130,112,INOMZYINCCISUCQ
C,X_MM42e,295,EDJEGYBIQYVBXOA,1593,210,LCZQWSYFTCTBQUI
G,U_oAo12,213,AZVXUIYPGMHNZXJ,4891,210,LCZQWSYFTCTBQUI
F,T_xEfV1,84,HLLIUTIMRUMRQDK,1346,179,PKOSWZVLMXMTLZW
K,R_NFT36,940,XQCNPCOHYWSQVFY,3328,210,LCZQWSYFTCTBQUI
E,K_12M34,659,SDHVERSRFEVGPNA,4167,209,OXMMZOZDYYWVGJG
F,T_xEfV1,125,RVFYFMPWBZNWCQK,2107,210,LCZQWSYFTCTBQUI
E,K_12M34,583,QDMHXFMKFQWMNUF,2997,112,INOMZYINCCISUCQ
G,U_oAo12,458,DZGZSRGUYGDHDIX,4754,171,WOTRJPNMGQSJCKW
K,R_NFT36,138,WWWKZNUKKOCVLDA,3392,174,JIBGCETMMPEQHUC
A,X_10fMM,443,LLWUUQCYEXLUAIB,4320,179,PKOSWZVLMXMTLZW
F,T_xEfV1,491,HWIQNNMEKJRBPGP,4029,153,OLNSTYUIIIGYSSL
F,T_xEfV1,368,HXUBRLHKGOBUJKR,1107,153,OLNSTYUIIIGYSSL
F,T_xEfV1,305,USKWCWUANJKSPOV,1371,171,WOTRJPNMGQSJCKW
B,T_Fe134,491,HWIQNNMEKJRBPGP,2061,162,KAQZSSKPPWRORYW
H,O_Um421,595,TBAWQGLWABDNIIX,2178,162,KAQZSSKPPWRORYW
F,T_xEfV1,962,PLENQJDDYZULYKA,4308,181,CBKMUWJEKWNROTY
C,X_MM42e,889,GMPOFQSNXAFECJD,3664,181,CBKMUWJEKWNROTY
B,T_Fe134,295,EDJEGYBIQYVBXOA,1808,121,WWICVCDUHUKZAWN
C,X_MM42e,940,XQCNPCOHYWSQVFY,4222,121,WWICVCDUHUKZAWN
H,O_Um421,100,KHVFQKBBTJPBMQP,4247,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,758,CDSHIUCJMSVSCEJ,4515,198,UHNHONUHHZTFLGT
B,T_Fe134,35,PSSVRABNAOGNKCP,3283,153,OLNSTYUIIIGYSSL
C,X_MM42e,712,IKOPSJGARBTCQLY,4181,181,CBKMUWJEKWNROTY
K,R_NFT36,838,ZLOCESNXHIZOOUL,4634,174,JIBGCETMMPEQHUC
B,T_Fe134,697,GHVMMFKKKMDGWBO,3884,209,OXMMZOZDYYWVGJG
H,O_Um421,136,ABVXFPLEMVOTBRQ,2412,215,QWJKGTTBATEWAHN
G,U_oAo12,35,PSSVRABNAOGNKCP,2103,171,WOTRJPNMGQSJCKW
A,X_10fMM,163,WJEQCQKJKVCRYMJ,2004,215,QWJKGTTBATEWAHN
E,K_12M34,96,TDGZPEQTLFGJQCV,2109,209,OXMMZOZDYYWVGJG
G,U_oAo12,200,MLDOIVPFVDRVMRR,3350,208,DPQLFVEHBGGKXGX
E,K_12M34,368,HXUBRLHKGOBUJKR,2095,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,377,UHIWXYBDZCQDMBW,3205,197,BNSCSXOJWAFTTVS
H,O_Um421,177,MZXEXJZPBWCTOXL,2045,121,WWICVCDUHUKZAWN
K,R_NFT36,14,OOMARJWTOWJFXLM,2808,179,PKOSWZVLMXMTLZW
E,K_12M34,305,USKWCWUANJKSPOV,1335,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,697,GHVMMFKKKMDGWBO,3246,153,OLNSTYUIIIGYSSL
K,R_NFT36,568,HFPDEYWZGYHHSJP,1022,162,KAQZSSKPPWRORYW
H,O_Um421,647,PNAWBSQVYHBMFPO,2374,208,DPQLFVEHBGGKXGX
E,K_12M34,697,GHVMMFKKKMDGWBO,3181,162,KAQZSSKPPWRORYW
E,K_12M34,307,ILISBJAVSODTASL,4468,112,INOMZYINCCISUCQ
A,X_10fMM,568,HFPDEYWZGYHHSJP,3989,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,295,EDJEGYBIQYVBXOA,2026,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,469,GCCIJFZZLUSNZKR,2627,215,QWJKGTTBATEWAHN
B,T_Fe134,60,QEBBIPDXWRCHGSK,2501,153,OLNSTYUIIIGYSSL
G,U_oAo12,827,HBCWMFSNHTNNSOF,2305,162,KAQZSSKPPWRORYW
G,U_oAo12,669,NOQPNJDENANCVAR,2316,179,PKOSWZVLMXMTLZW
H,O_Um421,38,IORHSTMRDEJEBPU,1001,149,BGRMWMMUMEFOBGL
E,K_12M34,49,CPIEOLOBXRARHBO,2010,209,OXMMZOZDYYWVGJG
E,K_12M34,810,PGYACUGIRYNMCBE,1033,208,DPQLFVEHBGGKXGX
B,T_Fe134,492,FBBYTXBZSXXEFLG,1213,198,UHNHONUHHZTFLGT
K,R_NFT36,337,GWZQDWLWEPCDWMX,4778,112,INOMZYINCCISUCQ
K,R_NFT36,583,QDMHXFMKFQWMNUF,3370,179,PKOSWZVLMXMTLZW
A,X_10fMM,595,TBAWQGLWABDNIIX,4971,162,KAQZSSKPPWRORYW
C,X_MM42e,177,MZXEXJZPBWCTOXL,4638,149,BGRMWMMUMEFOBGL
C,X_MM42e,458,DZGZSRGUYGDHDIX,2300,112,INOMZYINCCISUCQ
B,T_Fe134,550,JHDHDSBRIXPFYZF,1911,209,OXMMZOZDYYWVGJG
G,U_oAo12,385,NHYVTTIDXFYADCF,2795,149,BGRMWMMUMEFOBGL
K,R_NFT36,562,VNGWSFSNSIAFCGD,4659,208,DPQLFVEHBGGKXGX
C,X_MM42e,385,NHYVTTIDXFYADCF,3577,149,BGRMWMMUMEFOBGL
H,O_Um421,441,IYRXKIAZTRFRADI,1697,179,PKOSWZVLMXMTLZW
C,X_MM42e,384,NDGVSOYSBRMIQLD,1426,171,WOTRJPNMGQSJCKW
C,X_MM42e,852,WJILXXFLHVEIIVG,3329,198,UHNHONUHHZTFLGT
B,T_Fe134,305,USKWCWUANJKSPOV,1481,198,UHNHONUHHZTFLGT
B,T_Fe134,643,HOSFKFOMXMCHXPL,4056,197,BNSCSXOJWAFTTVS
B,T_Fe134,81,ODZTDFJYPUEVZXZ,4357,112,INOMZYINCCISUCQ
A,X_10fMM,431,PGRSPDOMBBGLRYP,1638,171,WOTRJPNMGQSJCKW
H,O_Um421,662,ODFURYFINNMQPUJ,3227,153,OLNSTYUIIIGYSSL
H,O_Um421,827,HBCWMFSNHTNNSOF,2893,153,OLNSTYUIIIGYSSL
E,K_12M34,662,ODFURYFINNMQPUJ,1888,153,OLNSTYUIIIGYSSL
E,K_12M34,826,GJBZRUMIQLQFNCZ,1863,153,OLNSTYUIIIGYSSL
H,O_Um421,159,KBCJRMNZUDVGIQH,4194,162,KAQZSSKPPWRORYW
B,T_Fe134,27,FCHGPOTLBXXKTOB,1857,210,LCZQWSYFTCTBQUI
B,T_Fe134,81,ODZTDFJYPUEVZXZ,1046,174,JIBGCETMMPEQHUC
D,Y_A13Fm,240,CFSPXFBIYSITKUE,4024,181,CBKMUWJEKWNROTY
K,R_NFT36,60,QEBBIPDXWRCHGSK,4924,181,CBKMUWJEKWNROTY
D,Y_A13Fm,643,HOSFKFOMXMCHXPL,1612,209,OXMMZOZDYYWVGJG
H,O_Um421,14,OOMARJWTOWJFXLM,1705,121,WWICVCDUHUKZAWN
D,Y_A13Fm,595,TBAWQGLWABDNIIX,2618,153,OLNSTYUIIIGYSSL
G,U_oAo12,38,IORHSTMRDEJEBPU,2926,181,CBKMUWJEKWNROTY
D,Y_A13Fm,758,CDSHIUCJMSVSCEJ,3286,179,PKOSWZVLMXMTLZW
K,R_NFT36,674,AFNIOPRUNAKVQOO,2696,112,INOMZYINCCISUCQ
C,X_MM42e,458,DZGZSRGUYGDHDIX,3044,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,967,SHRIEJKCRXAXKPY,4935,209,OXMMZOZDYYWVGJG
G,U_oAo12,240,CFSPXFBIYSITKUE,1273,162,KAQZSSKPPWRORYW
A,X_10fMM,990,JAHPMDXMTWJIEDT,4652,121,WWICVCDUHUKZAWN
C,X_MM42e,14,OOMARJWTOWJFXLM,2628,208,DPQLFVEHBGGKXGX
K,R_NFT36,60,QEBBIPDXWRCHGSK,3090,179,PKOSWZVLMXMTLZW
F,T_xEfV1,368,HXUBRLHKGOBUJKR,1190,121,WWICVCDUHUKZAWN
C,X_MM42e,647,PNAWBSQVYHBMFPO,2255,112,INOMZYINCCISUCQ
E,K_12M34,647,PNAWBSQVYHBMFPO,4566,179,PKOSWZVLMXMTLZW
A,X_10fMM,100,KHVFQKBBTJPBMQP,1721,208,DPQLFVEHBGGKXGX
H,O_Um421,518,FOLRHQUMXSELBYM,1539,149,BGRMWMMUMEFOBGL
A,X_10fMM,940,XQCNPCOHYWSQVFY,3351,174,JIBGCETMMPEQHUC
F,T_xEfV1,967,SHRIEJKCRXAXKPY,1822,197,BNSCSXOJWAFTTVS
G,U_oAo12,27,FCHGPOTLBXXKTOB,1617,215,QWJKGTTBATEWAHN
H,O_Um421,940,XQCNPCOHYWSQVFY,4885,162,KAQZSSKPPWRORYW
D,Y_A13Fm,60,QEBBIPDXWRCHGSK,2750,174,JIBGCETMMPEQHUC
F,T_xEfV1,337,GWZQDWLWEPCDWMX,3065,179,PKOSWZVLMXMTLZW
H,O_Um421,810,PGYACUGIRYNMCBE,4180,121,WWICVCDUHUKZAWN
B,T_Fe134,672,LTFQSCEYRBVKUAP,1001,112,INOMZYINCCISUCQ
B,T_Fe134,606,RRRGXLFJSGOHCYW,3852,174,JIBGCETMMPEQHUC
E,K_12M34,647,PNAWBSQVYHBMFPO,4701,210,LCZQWSYFTCTBQUI
B,T_Fe134,159,KBCJRMNZUDVGIQH,2442,121,WWICVCDUHUKZAWN
D,Y_A13Fm,390,CHVNCVKDEMWMRPE,4196,197,BNSCSXOJWAFTTVS
E,K_12M34,515,JHSFUSBMABVPPJH,2631,149,BGRMWMMUMEFOBGL
H,O_Um421,568,HFPDEYWZGYHHSJP,2751,209,OXMMZOZDYYWVGJG
K,R_NFT36,149,LFUFLBFHQUOERLG,1947,112,INOMZYINCCISUCQ
B,T_Fe134,307,ILISBJAVSODTASL,2202,209,OXMMZOZDYYWVGJG
A,X_10fMM,64,WWDVEEYMDMTQDAH,1866,162,KAQZSSKPPWRORYW
K,R_NFT36,16,KAMABLMDNQXPNDU,2516,153,OLNSTYUIIIGYSSL
F,T_xEfV1,515,JHSFUSBMABVPPJH,2255,181,CBKMUWJEKWNROTY
D,Y_A13Fm,20,ILQLMBISHNQTVFK,2786,153,OLNSTYUIIIGYSSL
G,U_oAo12,550,JHDHDSBRIXPFYZF,2337,121,WWICVCDUHUKZAWN
B,T_Fe134,725,PXGPTCHULHWPELF,1438,197,BNSCSXOJWAFTTVS
K,R_NFT36,337,GWZQDWLWEPCDWMX,4168,174,JIBGCETMMPEQHUC
K,R_NFT36,583,QDMHXFMKFQWMNUF,4988,174,JIBGCETMMPEQHUC
F,T_xEfV1,458,DZGZSRGUYGDHDIX,2218,174,JIBGCETMMPEQHUC
E,K_12M34,582,VIYZJRMURLLANOL,4717,197,BNSCSXOJWAFTTVS
E,K_12M34,582,VIYZJRMURLLANOL,2714,215,QWJKGTTBATEWAHN
H,O_Um421,842,GSZBCXTCEOPTAFO,4774,181,CBKMUWJEKWNROTY
A,X_10fMM,443,LLWUUQCYEXLUAIB,3440,197,BNSCSXOJWAFTTVS
F,T_xEfV1,404,GUJKMIZNEXIEPZE,4123,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,289,QRSBLITQOKOCXNM,3275,197,BNSCSXOJWAFTTVS
E,K_12M34,14,OOMARJWTOWJFXLM,4157,149,BGRMWMMUMEFOBGL
C,X_MM42e,606,RRRGXLFJSGOHCYW,1377,197,BNSCSXOJWAFTTVS
E,K_12M34,337,GWZQDWLWEPCDWMX,4609,112,INOMZYINCCISUCQ
G,U_oAo12,582,VIYZJRMURLLANOL,1724,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,659,SDHVERSRFEVGPNA,1608,197,BNSCSXOJWAFTTVS
B,T_Fe134,163,WJEQCQKJKVCRYMJ,4296,198,UHNHONUHHZTFLGT
D,Y_A13Fm,113,JXFGSVBQNNEUMCJ,1388,208,DPQLFVEHBGGKXGX
K,R_NFT36,712,IKOPSJGARBTCQLY,3703,174,JIBGCETMMPEQHUC
K,R_NFT36,697,GHVMMFKKKMDGWBO,4111,174,JIBGCETMMPEQHUC
K,R_NFT36,729,LJGOQBMPLTAWZHD,1459,149,BGRMWMMUMEFOBGL
C,X_MM42e,136,ABVXFPLEMVOTBRQ,3206,210,LCZQWSYFTCTBQUI
A,X_10fMM,347,PAVNWKHMTBVVNWB,2348,197,BNSCSXOJWAFTTVS
C,X_MM42e,758,CDSHIUCJMSVSCEJ,1661,174,JIBGCETMMPEQHUC
D,Y_A13Fm,148,NOCWJPTSKUMKXVK,4450,215,QWJKGTTBATEWAHN
D,Y_A13Fm,492,FBBYTXBZSXXEFLG,2003,197,BNSCSXOJWAFTTVS
B,T_Fe134,125,RVFYFMPWBZNWCQK,3801,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,582,VIYZJRMURLLANOL,2186,179,PKOSWZVLMXMTLZW
K,R_NFT36,889,GMPOFQSNXAFECJD,4544,112,INOMZYINCCISUCQ
K,R_NFT36,419,OHXGDSVDHPGJGAO,3529,198,UHNHONUHHZTFLGT
B,T_Fe134,16,KAMABLMDNQXPNDU,3075,121,WWICVCDUHUKZAWN
A,X_10fMM,305,USKWCWUANJKSPOV,4469,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,163,WJEQCQKJKVCRYMJ,1223,121,WWICVCDUHUKZAWN
D,Y_A13Fm,758,CDSHIUCJMSVSCEJ,3493,208,DPQLFVEHBGGKXGX
F,T_xEfV1,758,CDSHIUCJMSVSCEJ,1026,181,CBKMUWJEKWNROTY
E,K_12M34,200,MLDOIVPFVDRVMRR,3244,209,OXMMZOZDYYWVGJG
K,R_NFT36,149,LFUFLBFHQUOERLG,1726,209,OXMMZOZDYYWVGJG
E,K_12M34,15,VCQKRGUMIWDESRW,3959,179,PKOSWZVLMXMTLZW
B,T_Fe134,100,KHVFQKBBTJPBMQP,1577,197,BNSCSXOJWAFTTVS
F,T_xEfV1,47,GVWFISHPCDXNRVU,2035,210,LCZQWSYFTCTBQUI
B,T_Fe134,697,GHVMMFKKKMDGWBO,2725,210,LCZQWSYFTCTBQUI
B,T_Fe134,674,AFNIOPRUNAKVQOO,3786,149,BGRMWMMUMEFOBGL
E,K_12M34,337,GWZQDWLWEPCDWMX,3588,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,659,SDHVERSRFEVGPNA,2363,174,JIBGCETMMPEQHUC
K,R_NFT36,758,CDSHIUCJMSVSCEJ,3838,153,OLNSTYUIIIGYSSL
C,X_MM42e,240,CFSPXFBIYSITKUE,2738,210,LCZQWSYFTCTBQUI
F,T_xEfV1,491,HWIQNNMEKJRBPGP,4539,181,CBKMUWJEKWNROTY
C,X_MM42e,523,MLBHTRWIKRCOCYV,3349,209,OXMMZOZDYYWVGJG
K,R_NFT36,697,GHVMMFKKKMDGWBO,3761,198,UHNHONUHHZTFLGT
H,O_Um421,669,NOQPNJDENANCVAR,2051,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,842,GSZBCXTCEOPTAFO,2469,174,JIBGCETMMPEQHUC
K,R_NFT36,142,XVRRJLDRBCRUBVU,1734,171,WOTRJPNMGQSJCKW
F,T_xEfV1,240,CFSPXFBIYSITKUE,2175,210,LCZQWSYFTCTBQUI
E,K_12M34,177,MZXEXJZPBWCTOXL,4264,197,BNSCSXOJWAFTTVS
E,K_12M34,838,ZLOCESNXHIZOOUL,3720,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,725,PXGPTCHULHWPELF,2934,179,PKOSWZVLMXMTLZW
B,T_Fe134,81,ODZTDFJYPUEVZXZ,3113,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,760,AIUYMMHXMPOYHJJ,3081,149,BGRMWMMUMEFOBGL
G,U_oAo12,100,KHVFQKBBTJPBMQP,1909,121,WWICVCDUHUKZAWN
H,O_Um421,712,IKOPSJGARBTCQLY,3094,174,JIBGCETMMPEQHUC
D,Y_A13Fm,810,PGYACUGIRYNMCBE,3295,174,JIBGCETMMPEQHUC
E,K_12M34,64,WWDVEEYMDMTQDAH,2290,215,QWJKGTTBATEWAHN
G,U_oAo12,659,SDHVERSRFEVGPNA,2384,208,DPQLFVEHBGGKXGX
A,X_10fMM,16,KAMABLMDNQXPNDU,2417,121,WWICVCDUHUKZAWN
C,X_MM42e,810,PGYACUGIRYNMCBE,3874,174,JIBGCETMMPEQHUC
H,O_Um421,810,PGYACUGIRYNMCBE,2330,210,LCZQWSYFTCTBQUI
C,X_MM42e,674,AFNIOPRUNAKVQOO,2627,208,DPQLFVEHBGGKXGX
H,O_Um421,125,RVFYFMPWBZNWCQK,4750,179,PKOSWZVLMXMTLZW
H,O_Um421,200,MLDOIVPFVDRVMRR,2733,149,BGRMWMMUMEFOBGL
K,R_NFT36,842,GSZBCXTCEOPTAFO,1746,153,OLNSTYUIIIGYSSL
E,K_12M34,940,XQCNPCOHYWSQVFY,4067,149,BGRMWMMUMEFOBGL
C,X_MM42e,38,IORHSTMRDEJEBPU,4385,149,BGRMWMMUMEFOBGL
B,T_Fe134,49,CPIEOLOBXRARHBO,1644,153,OLNSTYUIIIGYSSL
B,T_Fe134,491,HWIQNNMEKJRBPGP,1191,181,CBKMUWJEKWNROTY
G,U_oAo12,149,LFUFLBFHQUOERLG,3746,171,WOTRJPNMGQSJCKW
K,R_NFT36,384,NDGVSOYSBRMIQLD,4849,210,LCZQWSYFTCTBQUI
B,T_Fe134,54,EYDZXNGJGPZNZVI,4482,179,PKOSWZVLMXMTLZW
A,X_10fMM,15,VCQKRGUMIWDESRW,3217,197,BNSCSXOJWAFTTVS
C,X_MM42e,518,FOLRHQUMXSELBYM,4915,112,INOMZYINCCISUCQ
G,U_oAo12,491,HWIQNNMEKJRBPGP,2228,179,PKOSWZVLMXMTLZW
G,U_oAo12,159,KBCJRMNZUDVGIQH,2502,112,INOMZYINCCISUCQ
K,R_NFT36,523,MLBHTRWIKRCOCYV,4999,197,BNSCSXOJWAFTTVS
B,T_Fe134,952,VURNASZCCMBGFMH,4188,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,16,KAMABLMDNQXPNDU,1307,179,PKOSWZVLMXMTLZW
C,X_MM42e,35,PSSVRABNAOGNKCP,2381,121,WWICVCDUHUKZAWN
C,X_MM42e,515,JHSFUSBMABVPPJH,2037,179,PKOSWZVLMXMTLZW
E,K_12M34,15,VCQKRGUMIWDESRW,1339,112,INOMZYINCCISUCQ
E,K_12M34,962,PLENQJDDYZULYKA,1412,121,WWICVCDUHUKZAWN
C,X_MM42e,142,XVRRJLDRBCRUBVU,2689,181,CBKMUWJEKWNROTY
A,X_10fMM,390,CHVNCVKDEMWMRPE,3553,174,JIBGCETMMPEQHUC
B,T_Fe134,785,RPCNHBECGNSCRLO,3316,215,QWJKGTTBATEWAHN
F,T_xEfV1,125,RVFYFMPWBZNWCQK,2099,215,QWJKGTTBATEWAHN
A,X_10fMM,347,PAVNWKHMTBVVNWB,2441,215,QWJKGTTBATEWAHN
B,T_Fe134,568,HFPDEYWZGYHHSJP,3013,208,DPQLFVEHBGGKXGX
B,T_Fe134,305,USKWCWUANJKSPOV,4512,174,JIBGCETMMPEQHUC
K,R_NFT36,929,MZZSOCSUGSTUXPF,1929,153,OLNSTYUIIIGYSSL
C,X_MM42e,725,PXGPTCHULHWPELF,2341,153,OLNSTYUIIIGYSSL
E,K_12M34,491,HWIQNNMEKJRBPGP,4042,198,UHNHONUHHZTFLGT
H,O_Um421,990,JAHPMDXMTWJIEDT,2446,174,JIBGCETMMPEQHUC
B,T_Fe134,404,GUJKMIZNEXIEPZE,3390,112,INOMZYINCCISUCQ
A,X_10fMM,826,GJBZRUMIQLQFNCZ,1203,210,LCZQWSYFTCTBQUI
B,T_Fe134,84,HLLIUTIMRUMRQDK,4250,181,CBKMUWJEKWNROTY
C,X_MM42e,14,OOMARJWTOWJFXLM,3672,171,WOTRJPNMGQSJCKW
F,T_xEfV1,643,HOSFKFOMXMCHXPL,2026,121,WWICVCDUHUKZAWN
H,O_Um421,518,FOLRHQUMXSELBYM,1165,208,DPQLFVEHBGGKXGX
E,K_12M34,669,NOQPNJDENANCVAR,3671,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,606,RRRGXLFJSGOHCYW,1259,149,BGRMWMMUMEFOBGL
A,X_10fMM,842,GSZBCXTCEOPTAFO,3204,121,WWICVCDUHUKZAWN
B,T_Fe134,368,HXUBRLHKGOBUJKR,2598,112,INOMZYINCCISUCQ
G,U_oAo12,35,PSSVRABNAOGNKCP,1915,181,CBKMUWJEKWNROTY
C,X_MM42e,546,AASZXWXFJTNTKNX,3884,174,JIBGCETMMPEQHUC
F,T_xEfV1,96,TDGZPEQTLFGJQCV,1975,181,CBKMUWJEKWNROTY
C,X_MM42e,379,TUHOMJTPLRKEYQA,4261,179,PKOSWZVLMXMTLZW
A,X_10fMM,473,RJWQPBLKMLUAIMZ,2266,198,UHNHONUHHZTFLGT
A,X_10fMM,583,QDMHXFMKFQWMNUF,1782,209,OXMMZOZDYYWVGJG
A,X_10fMM,647,PNAWBSQVYHBMFPO,3123,198,UHNHONUHHZTFLGT
C,X_MM42e,15,VCQKRGUMIWDESRW,4955,112,INOMZYINCCISUCQ
C,X_MM42e,669,NOQPNJDENANCVAR,2994,171,WOTRJPNMGQSJCKW
A,X_10fMM,606,RRRGXLFJSGOHCYW,4951,149,BGRMWMMUMEFOBGL
K,R_NFT36,502,UYCUSOYWJOOGNSE,4377,112,INOMZYINCCISUCQ
G,U_oAo12,148,NOCWJPTSKUMKXVK,3262,179,PKOSWZVLMXMTLZW
B,T_Fe134,822,SKVFPHPLCMNHQPE,4125,208,DPQLFVEHBGGKXGX
G,U_oAo12,595,TBAWQGLWABDNIIX,3219,174,JIBGCETMMPEQHUC
A,X_10fMM,550,JHDHDSBRIXPFYZF,1952,162,KAQZSSKPPWRORYW
K,R_NFT36,404,GUJKMIZNEXIEPZE,1670,215,QWJKGTTBATEWAHN
H,O_Um421,842,GSZBCXTCEOPTAFO,3912,149,BGRMWMMUMEFOBGL
F,T_xEfV1,699,MIYDBATFLODBRRA,3803,198,UHNHONUHHZTFLGT
A,X_10fMM,760,AIUYMMHXMPOYHJJ,4357,121,WWICVCDUHUKZAWN
B,T_Fe134,60,QEBBIPDXWRCHGSK,4640,210,LCZQWSYFTCTBQUI
G,U_oAo12,289,QRSBLITQOKOCXNM,1110,121,WWICVCDUHUKZAWN
A,X_10fMM,582,VIYZJRMURLLANOL,3148,215,QWJKGTTBATEWAHN
H,O_Um421,35,PSSVRABNAOGNKCP,2187,209,OXMMZOZDYYWVGJG
E,K_12M34,568,HFPDEYWZGYHHSJP,4168,181,CBKMUWJEKWNROTY
C,X_MM42e,38,IORHSTMRDEJEBPU,2431,112,INOMZYINCCISUCQ
K,R_NFT36,100,KHVFQKBBTJPBMQP,4147,208,DPQLFVEHBGGKXGX
B,T_Fe134,295,EDJEGYBIQYVBXOA,4729,210,LCZQWSYFTCTBQUI
C,X_MM42e,125,RVFYFMPWBZNWCQK,1688,174,JIBGCETMMPEQHUC
C,X_MM42e,20,ILQLMBISHNQTVFK,3418,179,PKOSWZVLMXMTLZW
C,X_MM42e,755,XIBUOKRQGJCFFMG,3737,198,UHNHONUHHZTFLGT
F,T_xEfV1,647,PNAWBSQVYHBMFPO,3832,209,OXMMZOZDYYWVGJG
E,K_12M34,49,CPIEOLOBXRARHBO,1781,112,INOMZYINCCISUCQ
K,R_NFT36,729,LJGOQBMPLTAWZHD,1844,198,UHNHONUHHZTFLGT
D,Y_A13Fm,822,SKVFPHPLCMNHQPE,4334,208,DPQLFVEHBGGKXGX
F,T_xEfV1,826,GJBZRUMIQLQFNCZ,4308,209,OXMMZOZDYYWVGJG
F,T_xEfV1,125,RVFYFMPWBZNWCQK,3573,208,DPQLFVEHBGGKXGX
E,K_12M34,546,AASZXWXFJTNTKNX,4062,174,JIBGCETMMPEQHUC
E,K_12M34,962,PLENQJDDYZULYKA,2536,149,BGRMWMMUMEFOBGL
C,X_MM42e,20,ILQLMBISHNQTVFK,3963,209,OXMMZOZDYYWVGJG
K,R_NFT36,38,IORHSTMRDEJEBPU,2009,112,INOMZYINCCISUCQ
F,T_xEfV1,27,FCHGPOTLBXXKTOB,2860,171,WOTRJPNMGQSJCKW
E,K_12M34,289,QRSBLITQOKOCXNM,2510,162,KAQZSSKPPWRORYW
G,U_oAo12,697,GHVMMFKKKMDGWBO,2433,171,WOTRJPNMGQSJCKW
A,X_10fMM,492,FBBYTXBZSXXEFLG,3347,112,INOMZYINCCISUCQ
B,T_Fe134,96,TDGZPEQTLFGJQCV,3201,198,UHNHONUHHZTFLGT
C,X_MM42e,699,MIYDBATFLODBRRA,3260,162,KAQZSSKPPWRORYW
E,K_12M34,142,XVRRJLDRBCRUBVU,4223,149,BGRMWMMUMEFOBGL
K,R_NFT36,760,AIUYMMHXMPOYHJJ,1398,215,QWJKGTTBATEWAHN
F,T_xEfV1,404,GUJKMIZNEXIEPZE,1485,162,KAQZSSKPPWRORYW
H,O_Um421,91,RALPDQBXBDJTNPW,1938,121,WWICVCDUHUKZAWN
E,K_12M34,523,MLBHTRWIKRCOCYV,2138,174,JIBGCETMMPEQHUC
D,Y_A13Fm,377,UHIWXYBDZCQDMBW,1224,181,CBKMUWJEKWNROTY
D,Y_A13Fm,962,PLENQJDDYZULYKA,1233,197,BNSCSXOJWAFTTVS
B,T_Fe134,492,FBBYTXBZSXXEFLG,4191,174,JIBGCETMMPEQHUC
H,O_Um421,100,KHVFQKBBTJPBMQP,1634,181,CBKMUWJEKWNROTY
B,T_Fe134,863,YEESBRKROXSGSQS,1676,209,OXMMZOZDYYWVGJG
B,T_Fe134,148,NOCWJPTSKUMKXVK,2074,149,BGRMWMMUMEFOBGL
